Building,Room Number,Room Type,Dimensions,Area,Adjoining Rooms
BURTON,101A,"Triple, 2 Room",11.58x10+2.67x8.42+4.25x2.33+3.42x5,165,
BURTON,102A,"Triple, 2 Room",11.58x10+2.67x8.42+4.25x2.33+3.42x5,165,
BURTON,103,Single,14.5x9.28+8.34x6.56,156,
BURTON,104,Double,13x13.37,174,
BURTON,106A,"Double, 2 Room",6.26x10.28+2.36x3.3,72,
BURTON,107A,"Double, 2 Room",5.75x10.4+5.69x3.33,79,
BURTON,108,Single,9.92x14.15+3.33x2.29,150,
BURTON,109,Single,14.54x10.01,146,
BURTON,110A,"Double, 2 Room",6.18x13.9+4.93x3.35,102,
BURTON,111A,"Triple, 2 Room",10.78x7.47+3.78x1.96,88,
BURTON,113A,"Triple, 2 Room",11.35x11.62,132,
BURTON,115,Double,11.94x9+8.81x13.21+3.41x2.72,233,
BURTON,119,Triple,10.95x13.83+17.83x14.24+7.64x5,444,
BURTON,121A,Single in a Triple,6.25x10.25+3.25x6.25,84,BURT*121B
BURTON,121B,Double in Triple,6.17x10.25+6.17x3.25,83,BURT*121A
BURTON,122A,"Double, 2 Room",6.17x10.78+4.89x3.27,83,
BURTON,123,Single,10.05x14.44+3.15x2.64,153,
BURTON,124,Single,10.01x13.39+3.35x2.82,143,
BURTON,125A,"Double, 2 Room",6.18x10.29+3.17x3.4,74,
BURTON,126A,"Double, 2 Room",11.94x14.15,169,
BURTON,128,Double,13.06x13.34,174,
BURTON,129,Single,9.15x14.53,133,
BURTON,130A,"Triple, 2 Room",13.97x9.71+2.72x5,149,
BURTON,131A,"Triple, 2 Room",16.08x11.62+4.88x2.22+2.32x5.09,209,
BURTON,201A,"Triple, 2 Room",11.58x10+2.67x8.42+4.25x2.33+3.42x5,165,
BURTON,202A,"Triple, 2 Room",11.58x10+2.67x8.42+4.25x2.33+3.42x5,165,
BURTON,205,Single,9.3x14.21+8.09x13.96,245,
BURTON,206,Single,11.06x14.12+5.24x3.39,174,
BURTON,208A,Single in a Triple,6.08x10.17+2.92x3.25,71,BURT*208B
BURTON,208B,Double in Triple,5.92x10.25+4.75x2.83,74,BURT*208A
BURTON,209A,"Double, 2 Room",5.75x10.4+5.69x3.33,79,
BURTON,210,Single,10.01x14.12+3.3x3,153,
BURTON,211,Single,9.89x14.04+3.28x2.87,148,
BURTON,212A,"Double, 2 Room",6.18x13.9+4.93x3.35,102,
BURTON,213A,Single in a Triple,10.24x6.08+6.13+6.13x3.27,83,BURT*213B
BURTON,213B,Double in Triple,10.24x6.08+3.27x6.08,82,BURT*213A
BURTON,215,Single,11.03x12.66,140,
BURTON,217A,"Triple, 2 Room",8.42x17.67+3.42x3.5+3.5x2.25,169,
BURTON,221,Double,16.78*16.64,279,
BURTON,222,"Double, 2 Room",16.72x10.01,167,
BURTON,223,Single,11.37x14.06+3.28x3.01,170,
BURTON,224,Single,14.12x10.03+3.37x2.85,151,
BURTON,225A,Single in a Triple,16x9+2.81x3.37,153,BURT*225B
BURTON,225B,Double in Triple,6.2x10.28,63,BURT*225A
BURTON,226A,Single in a Triple,6.17x10.25+2.83x2.17,69,BURT*226B
BURTON,226B,Double in Triple,9.92x13.92,138,BURT*226A
BURTON,227,Single,10.3x14.04+3.38x2.82,150,
BURTON,228,Single,10.66x14.05+3.34x3.15,160,
BURTON,229A,"Double, 2 Room",6.18x10.29+3.17x3.4,74,
BURTON,230A,"Triple, 2 Room",11.92x10.25+4.33x25,230,
BURTON,233,Single,9.6x14.01,135,
BURTON,235A,"Triple, 2 Room",2.25x4.83+9.92x13.92+4.42x3.25,163,
BURTON,301A,"Triple, 2 Room",11.58x10+2.67x8.42+4.25x2.33+3.42x5,165,
BURTON,302A,"Triple, 2 Room",11.58x10+2.67x8.42+4.25x2.33+3.42x5,165,
BURTON,305,Single,9.15x14.13,129,
BURTON,306,Single,13.58x10.76+3.37x5.41,164,
BURTON,308A,Single in a Triple,6.08x10.17+2.92x3.25,71,BURT*308B
BURTON,308B,Double in Triple,5.92x10.25+4.75x2.83,74,BURT*308A
BURTON,309,Single,5.92x10.25+4.92x2.83,75,
BURTON,310,Single,14.47x10.05+3.33x2.83,155,
BURTON,311A,"Triple, 2 Room",11.69x14.42,169,
BURTON,312A,"Double, 2 Room",6.18x13.9+4.93x3.35,102,
BURTON,313,Single,10.01x16.21,162,
BURTON,315,Double,10.3x6.66+14.04x10.58+2.7x2.21+4.82,229,
BURTON,317,Single,9.12x18.25+4.53x3.43,182,
BURTON,319A,"Double, 2 Room",7.25x10.75+5x1.08+3.5x1.75,89,
BURTON,321,Double,16.77x16.76,281,
BURTON,322,Double,16.62x13.97,232,
BURTON,323,Single,11.23x14.06+1x1.05+1.8x2.8,164,
BURTON,324,Single,9.92x13.97+2.86x3.36,148,
BURTON,325A,Single in a Triple,6.2x10.28,64,BURT*325B
BURTON,325B,Double in Triple,6.08x10.25+2.75x3.25,71,BURT*325A
BURTON,326A,Single in a Triple,6.17x10.25+2.83x2.17,69,BURT*326B
