Building,Room,Room Type,Dimensions,Area
CASSAT,106,Single,14.9x10,149
CASSAT,107,Double,14.5x13.5,193
CASSAT,108,Single,14x10,140
CASSAT,109,Double,14.5x13.5,192
CASSAT,111,Double,15X13.2,198
CASSAT,112,Double,15.5x14.5,229
CASSAT,113,Double,15.5x14.5,229
CASSAT,114,Double,15.5X13.5,207
CASSAT,115,Single,15x10,148
CASSAT,126,Double,14.5x13.5,197
CASSAT,127,Single,15x10,145
CASSAT,128,Double,14.5x13.5,197
CASSAT,129,Single,14x10.2,143
CASSAT,201,Single,11.5x10,114
CASSAT,202,Double,15.5x13.5,207
CASSAT,203,Double,15x14.5,228
CASSAT,204,Double,15.5x15,232
CASSAT,205,Double,15.5x13,199
CASSAT,207,Double,15x13,192
CASSAT,208,Single,14x10.5,141
CASSAT,209,Double,14.5x13.5,192
CASSAT,211,Double,14.5x13.5,199
CASSAT,212,Double,15x14.5,229
CASSAT,213,Double,15x14.5,229
CASSAT,214,Double,15x14,208
CASSAT,216,Single,14.5x10,147
CASSAT,217,Single,14.5x10,147
CASSAT,218,Single,14.5x10,143
CASSAT,219,Double,15.5x13.5,206
CASSAT,220,Double,15.5x14.5,230
CASSAT,221,Double,15.5x14.5,230
CASSAT,222,Double,15.5x14,220
CASSAT,226,Double,14.5x13.5,197
CASSAT,227,Single,14x10.5,145
CASSAT,228,Double,14.5x14,197
CASSAT,229,Single,14x10.5,143
CASSAT,301,Single,11x10.5,114
CASSAT,302,Double,15.5x13.5,207
CASSAT,303,Double,15.5x14.5,228
CASSAT,304,Double,15.5x15,232
CASSAT,305,Double,15x13,199
CASSAT,307,Double,14.5x13.2,192
CASSAT,308,Single,14x10,141
CASSAT,309,Double,14.5x13.2,192
CASSAT,311,Double,15x13,199
CASSAT,312,Double,15.5x14.5,229
CASSAT,313,Double,15.5x14.5,229
CASSAT,314,Double,15.5x13.5,208
CASSAT,316,Single,14.5x10,147
CASSAT,317,Single,14.5x10,147
CASSAT,318,Single,14.5x10,143
CASSAT,319,Double,15.5x13,206
CASSAT,320,Double,15.5x14.5,230
CASSAT,321,Double,15.5x14.5,230
CASSAT,322,Double,15.5x14.2,220
CASSAT,326,Double,14.5x13.5,197
CASSAT,327,Single,14.5x10,145
CASSAT,328,Double,14.5x13.5,197
CASSAT,329,Single,14x10.5,143
CASSAT,401,Single,11.5x10,114
CASSAT,402,Double,15x14,207
CASSAT,403,Double,15.5x14 Sloped Ceiling 5',212
CASSAT,404,Double,15x14.5 Sloped Ceiling 5',216
CASSAT,405,Double,15x13,199
CASSAT,407,Double,14.5x13.5,193
CASSAT,408,Single,14x10,140
CASSAT,409,Double,14.5x13.5,192
CASSAT,411,Double,15.5x13,199
CASSAT,412,Double,15x13.5 Sloped Ceiling 5',212
CASSAT,413,Double,15x14.5 Sloped Ceiling 5',212
CASSAT,414,Double,15.5x13.5,208
CASSAT,416,Single,15 x 10,150
CASSAT,417,Single,14.5x10,145
CASSAT,418,Single,14 x 10.5,145
CASSAT,419,Double,15.5x13.5,207
CASSAT,420,Double,15.5x13.5 Sloped Ceiling 5',215
CASSAT,421,Double,15.5x13.5 Sloped Ceiling 5',215
CASSAT,422,Double,15.5x14,221
CASSAT,426,Double,14.5x14,197
CASSAT,427,Single,14x10.5,145
CASSAT,428,Double,14.5x14,197
CASSAT,429,Single,14x10.5,145
