Building,Room,Room Type,Dimensions,Area,Adjoining
DAVIS,104A,Single in a Quint,10.83x8.43+1.99x5.4,102,DAVI*104B
DAVIS,104B,Double in a Quint,11.26x13.94,157,DAVI*104A
DAVIS,104C,Double in a Quint,11.72x17.91,210,DAVI*104A
DAVIS,106,Double in Quad,11.79x15.13+6x4.69+4.12x2.82,218,DAVI*107
DAVIS,107,Double in Quad,16.65x11.91+5.52x2.83,214,DAVI*106
DAVIS,108,Double,19.67x11.58+3.11x4.9,243,
DAVIS,109,Double in Quad,17.17x13.33+4.31x2.85,241,DAVI*110
DAVIS,110,Double in Quad,14.98x13.52+4.47x2.73,215,DAVI*109
DAVIS,111,Single in a Quad,13.56x12+5.07x2.09,173,DAVI*112
DAVIS,112,Triple in a Quad,18.13x15.2+6.24x3.53+3.99x2.9,309,DAVI*111
DAVIS,114,Single in a Triple,11.22x13.24+4.7x3.48,165,DAVI*115
DAVIS,115,Double in Triple,11.2x14.2+3.8x2.1,168,DAVI*114
DAVIS,116A,"Triple, 2 Room",12.2x14.19+7.99x6.29,223,
DAVIS,121,Single in a Triple,16.67x10.17,170,DAVI*122
DAVIS,122,Double in Triple,20.66x18.48,382,DAVI*121
DAVIS,204A,Single in a Quint,10.8x8.4+1.9x5.5,101,DAVI*204B
DAVIS,204B,Double in a Quint,11.3x14,158,DAVI*204A
DAVIS,204C,Double in a Quint,11.7x18,211,DAVI*204A
DAVIS,206,Double in Quad,10.69x19.26+5.59x3.57,226,DAVI*207
DAVIS,207,Double in Quad,16.27x11.79+4.77x2.83,205,DAVI*206
DAVIS,208,Double,11.63x19.21+3.19x5.02,239,
DAVIS,209,Double in Quad,16.26x13.9+45.28x2.36,236,DAVI*210
DAVIS,210,Double in Quad,13.75x15.28+5.2x2.75,224,DAVI*209
DAVIS,211,Double in a Quint,15.04x12.02+4.08x2.49,191,DAVI*212
DAVIS,212,Triple in a Quint,18.5x15.1+6.4x3.8+2.9x4,315,DAVI*211
DAVIS,214,Single in a Triple,11.95x13.1+4.68x3.59,173,DAVI*215
DAVIS,215,Double in Triple,13.16x11.35+7.24x1.97,164,DAVI*214
DAVIS,216A,"Triple, 2 Room",4.9x9.4+8.9x7.9+5.7x11.4,181,
DAVIS,221,Single in a Triple,8.36x16.65,139,DAVI*222
DAVIS,222,Double in Triple,20.8x16.28,339,DAVI*221
DAVIS,304A,Single in a Quint,10.8x8.5+2x5.5,103,DAVI*304B
DAVIS,304B,Double in a Quint,11.3x14,158,DAVI*304A
DAVIS,304C,Double in a Quint,11.7x18,211,DAVI*304A
DAVIS,306,Double in Quad,19.42x10.8+5.6x2.8,225,DAVI*307
DAVIS,307,Double in Quad,11.9x15.2+5.62x2.8,197,DAVI*306
DAVIS,308,Double,19.31x11.8+3.1x5,243,
DAVIS,309,Double,14.4x11.8+3.56x4.9,187,
DAVIS,312,Double,5.58x2.58+11.67x4.75+6x11.92+2.58x 2.83+5.33x6.58,184,
DAVIS,314A,Single in a Quint,11.75x12.53+5.8x2.5,161,DAVI*314B
DAVIS,314B,Double in a Quint,16.3x13.5,220,DAVI*314A
DAVIS,314C,Double in a Quint,13.75x11.97+6x3.62,186,DAVI*314A
DAVIS,319,Single in a Triple,16.8x7.65+4.9x2.8,142,DAVI*320
DAVIS,320,Double in Triple,18.7x19.4,363,DAVI*319
DAVIS,404A,Single in a Quint,10.8x8.5+2x5.5,103,DAVI*404B
DAVIS,404B,Double in a Quint,11.3x14,158,DAVI*404A
DAVIS,404C,Double in a Quint,11.7x18,211,DAVI*404A
DAVIS,406,Double,19.2x11.5+5.8x5.2,251,
DAVIS,407,Double in Quad,16.43x12.8+4.39x2.76,222,DAVI*408
DAVIS,408,Double in Quad,19.31x11.38+5.7x2.6,235,DAVI*407
DAVIS,409,Double,16.4x13.2+3.77x3.02,228,
DAVIS,412,Double,13.14*15.24+8.6*6+6*4+3.7*3.4+8.2* 2.5,309,
DAVIS,413,Single in a Triple,14.6x12.02+8.95x3.88,210,DAVI*414
DAVIS,414,Double in Triple,17.57x16+6x7.5,326,DAVI*413
