Building,Room,Room Type,Dimensions,Area
MUSSER,201,Double,11.10x17.75,197
MUSSER,202,Double,11.52x17.73,204
MUSSER,203,Double,11.63x17.72,206
MUSSER,204,Double,11.57x17.76,205
MUSSER,205,Double,11.56x17.75,205
MUSSER,206,Double,11.61x17.89,208
MUSSER,207,Double,11.58x17.77,206
MUSSER,208,Double,11.56x17.77,205
MUSSER,209,Double,11.61x17.76,206
MUSSER,210,Double,11.58x17.77,206
MUSSER,211,Single,11.57x11.31,131
MUSSER,213,Double,11.11x18.77,209
MUSSER,214,Single,11.09x11.59,129
MUSSER,215,Single,11.06x11.42,126
MUSSER,217,Double,11.52x17.7,204
MUSSER,218,Double,11.59x17.91,208
MUSSER,219,Double,11.57x17.91,207
MUSSER,220,Double,11.59x17.91,208
MUSSER,221,Double,11.59x17.8,206
MUSSER,222,Double,11.52x17.93,207
MUSSER,223,Double,11.61x17.7,206
MUSSER,224,Double,11.56x17.86,206
MUSSER,225,Double,11.56x17.86,206
MUSSER,226,Double,11.1x17.95,199
MUSSER,227,Single,11.43x11.08,127
MUSSER,228,Single,11.4x11.03,126
MUSSER,301,Double,11.10x17.75,197
MUSSER,302,Double,11.52x17.73,204
MUSSER,303,Double,11.63x17.72,206
MUSSER,304,Double,11.57x17.76,205
MUSSER,305,Double,11.56x17.75,205
MUSSER,306,Double,11.61x17.89,208
MUSSER,307,Double,11.58x17.77,206
MUSSER,308,Double,11.56x17.77,205
MUSSER,309,Double,11.61x17.76,206
MUSSER,310,Double,11.58x17.77,206
MUSSER,311,Single,11.57x11.31,131
MUSSER,313,Double,11.11x18.77,209
MUSSER,314,Single,11.09x11.59,129
MUSSER,315,Single,11.06x11.42,126
MUSSER,317,Double,11.52x17.7,204
MUSSER,318,Double,11.59x17.91,208
MUSSER,319,Double,11.57x17.91,207
MUSSER,320,Double,11.59x17.91,208
MUSSER,321,Double,11.59x17.8,206
MUSSER,322,Double,11.52x17.93,207
MUSSER,323,Double,11.61x17.7,206
MUSSER,324,Double,11.56x17.86,206
MUSSER,325,Double,11.56x17.86,206
MUSSER,326,Double,11.1x17.95,199
MUSSER,327,Single,11.43x11.08,127
MUSSER,328,Single,11.4x11.03,126
MUSSER,401,Double,11.10x17.75,197
MUSSER,402,Double,11.52x17.73,204
MUSSER,403,Double,11.63x17.72,206
MUSSER,404,Double,11.57x17.76,205
MUSSER,405,Double,11.56x17.75,205
MUSSER,406,Double,11.61x17.89,208
MUSSER,407,Double,11.58x17.77,206
MUSSER,408,Double,11.56x17.77,205
MUSSER,409,Double,11.61x17.76,206
MUSSER,410,Double,11.58x17.77,206
MUSSER,411,Single,11.57x11.31,131
MUSSER,413,Double,11.11x18.77,209
MUSSER,414,Single,11.09x11.59,129
MUSSER,415,Single,11.06x11.42,126
MUSSER,417,Double,11.52x17.7,204
MUSSER,418,Double,11.59x17.91,208
MUSSER,419,Double,11.57x17.91,207
MUSSER,420,Double,11.59x17.91,208
MUSSER,421,Double,11.59x17.8,206
MUSSER,422,Double,11.52x17.93,207
MUSSER,423,Double,11.61x17.7,206
MUSSER,424,Double,11.56x17.86,206
MUSSER,425,Double,11.56x17.86,206
MUSSER,426,Double,11.1x17.95,199
MUSSER,427,Single,11.43x11.08,127
MUSSER,428,Single,11.4x11.03,126
