Building,Room,Room Type,Dimensions,Area
MYERS,115A,"Double, 2 Room",7.54x18.75,140
MYERS,201,Double,15.04x13.43,202
MYERS,202,Double,15.52x14.1,219
MYERS,203,Double,15.6x14.08,220
MYERS,205,Double,15.6x13.56,212
MYERS,206,Double,15.66x13.67,214
MYERS,207,Double,15.63x14.18,222
MYERS,208,Double,15.61x13.17,206
MYERS,209,Double,15.59x14.14,220
MYERS,210,Double,15.57x14.12,220
MYERS,211,Double,15.06x13.52,204
MYERS,213,Single,11.78x10.19,120
MYERS,214,Single,11.21x8.89,100
MYERS,233,Single,11.81x10.96,129
MYERS,234,Single,11.81x11.05,131
MYERS,236,Double,15.18x13.58,206
MYERS,237,Double,15.64x14.23,223
MYERS,238,Double,15.64x14.22,222
MYERS,239,Double,15.54x14.29,222
MYERS,240,Double,15.6x14.2,222
MYERS,241,Double,15.55x14.23,221
MYERS,242,Double,15.57x14.2,221
MYERS,243,Double,15.6x14.23,222
MYERS,244,Double,15.6x14.18,221
MYERS,245,Double,15.6x14.18,221
MYERS,246,Double,15.11x13.12,198
MYERS,301,Double,15.04x13.43,202
MYERS,302,Double,15.52x14.1,219
MYERS,303,Double,15.6x14.08,220
MYERS,305,Double,15.6x13.56,212
MYERS,306,Double,15.66x13.67,214
MYERS,307,Double,15.63x14.18,222
MYERS,308,Double,15.61x13.17,206
MYERS,309,Double,15.59x14.14,220
MYERS,310,Double,15.57x14.12,220
MYERS,311,Double,15.06x13.52,204
MYERS,313,Single,11.78x10.19,120
MYERS,314,Single,11.21x8.89,100
MYERS,333,Single,11.81x10.96,129
MYERS,334,Single,11.81x11.05,131
MYERS,336,Double,15.18x13.58,206
MYERS,337,Double,15.64x14.23,223
MYERS,338,Double,15.64x14.22,222
MYERS,339,Double,15.54x14.29,222
MYERS,340,Double,15.6x14.2,222
MYERS,341,Double,15.55x14.23,221
MYERS,342,Double,15.57x14.2,221
MYERS,343,Double,15.6x14.23,222
MYERS,344,Double,15.6x14.18,221
MYERS,345,Double,15.6x14.18,221
MYERS,346,Double,15.11x13.12,198
MYERS,401,Double,14.05*15.25,214
MYERS,402,Double,15.6*14,218
MYERS,403,Double,15.6*14,218
MYERS,404,Double,15.6*14,218
MYERS,405,Double,15.6x14,218
MYERS,406,Double,15.6*14,218
MYERS,407,Double,15.6*14,218
MYERS,408,Double,15.6*14,218
MYERS,409,Double,15.6*14,218
MYERS,410,Double,15.6*14,218
MYERS,411,Double,15.29*13.45,206
MYERS,413,Single,12.5*11.42,143
MYERS,414,Single,12.5*11.2,140
MYERS,433,Single,12.33*11.08,137
MYERS,434,Single,12.42*11.08,138
MYERS,436,Double,15.08*14.08,212
MYERS,437,Double,15.58*14.08,219
MYERS,438,Double,15.58*14.08,219
MYERS,439,Double,15.58*14.08,219
MYERS,440,Double,15.58*14.08,219
MYERS,441,Double,14.18*15.62,221
MYERS,442,Double,15.6*14.1,220
MYERS,443,Double,15.6*14.1,220
MYERS,444,Double,15.62x14.12,221
MYERS,445,Double,15.6x14.11,220
MYERS,446,Double,15.25*13.45,205
