Building,Room,Room Type,Dimensions,Area
NOURSE,012,Single,5.92x2.67+11x10-2.25x1.75+2.42x3.75,131
NOURSE,013,Double,13.75x13.67,188
NOURSE,014,Single,13.75x9,124
NOURSE,015,Single,8.5x7.67+6.67x2.25+3.75x3.92+3.42x4,109
NOURSE,016,Single,3.42x4.08+8.58x7.67+3.75x4.08+ 2.33x6.75,111
NOURSE,017,Single,13.75x8.25+3.83x3.42,127
NOURSE,100,Triple,3.83x6.33+2.92x3.08+17.5x7.67,167
NOURSE,101A,"Triple, 2 Room",13.25x6.42,85
NOURSE,103,Single,6.42x3.5+9.92x8.25+8x2.25,124
NOURSE,104A,"Double, 2 Room",9.83x6.08+3.83x2.92,71
NOURSE,105,Single,6.58x3.42+3.17x3+10.5x10,137
NOURSE,106A,"Double, 2 Room",6.08x9.92+2.42x3.08,68
NOURSE,107,Single,9.92x14-1.83x2.25+3.33x2.83,190
NOURSE,108,Single,14.08x9.92+3.75x2.83,150
NOURSE,109A,Single in a Double,9.92x6.08+2.92x2.92,69
NOURSE,109B,Single in a Double,9.92x6.08+2.83x1.58,65
NOURSE,110,Single,4.17x3.33+10.75x8.5+8.83x2.25,125
NOURSE,112,Double,14x13.83,209
NOURSE,122,"Triple, 2 Room",14.33x3.67+13x17.75+1.83x7+ 1.33x3.25+6.08x5.42+4.5x11.08+0.58x2.08+ 10.83x17.83,578
NOURSE,200,Triple,6.33x3.83+2.92x3.08+17.5x9.25,195
NOURSE,201A,"Triple, 2 Room",13.25x6.42,85
NOURSE,203A,"Triple, 2 Room",9.92x16.5,164
NOURSE,204A,"Double, 2 Room",9.92x6.08+3.67x2.92,71
NOURSE,206A,"Double, 2 Room",10x6.08+2.92x3.67,72
NOURSE,207,Single,14.08x10+3.25x2.83-1.83x2.05,146
NOURSE,208A,"Triple, 2 Room",9.17x14+2.75x4.56,141
NOURSE,209A,"Double, 2 Room",10x6.08+2.83x1.83,66
NOURSE,211A,"Double, 2 Room",10x6.08+2.83x1.83,69
NOURSE,212,Double,11.75(9.25)x15.92+4.5x2.67(3.92)x1.83x4.5,208
NOURSE,214,Single,3.67x4.25+10.42x8.5+3.42x5.75+ 8.5x2.25+5.33x1.17,149
NOURSE,215,Single,3.33x7.75-1.92x1.58+3.75x4.25+ 1 92x8.58 1.83x10.58,169
NOURSE,216,Triple,14.08x23.25+2.92x2.83+2.92x2.93+ 1.83x3.17+6.42x3.17,350
NOURSE,217,Triple,16.17x23.25+3.75x2.75+3.5x2.75+ 3.67x2.75+12.08x3.25,445
NOURSE,300,Triple,17.5x10+3x3.08+6.33x3.92,209
NOURSE,301A,"Triple, 2 Room",6.33x13.17-3x0.67,81
NOURSE,303A,"Triple, 2 Room",9.92x16.5,164
NOURSE,304A,"Double, 2 Room",10.08x6+2.08x3.67-0.67x3.08- 0.75x3.08,64
NOURSE,306A,"Double, 2 Room",10x6+3.75x2.83,71
NOURSE,307,Single,14.08x9.75+3.33x3.08-1.83x2.25,143
NOURSE,308A,"Triple, 2 Room",14.19x9.32,132
NOURSE,309A,"Double, 2 Room",10x6.33+2.5x2.92,71
NOURSE,311A,"Double, 2 Room",2.83x2.83+9.92x6.08,68
NOURSE,312,Double,12.08x16+4.42x2.67+1.75x4.5,213
NOURSE,314,Single,4.25x4+3.67x5.67+10.33x8.42+8.42x2.25-0.83x0.92+5.42x1.17,149
NOURSE,315,Single,4.25x4+7.42x3.75-1.67x1.83+ 10.5x9.9+2.25x8.67,171
NOURSE,316,Triple,14x23.25+3.75x2.75+3.08x2.83+4.08x2.83+12x3.08,356
NOURSE,317,Triple,14.33x23.25+3.75x2.75+3.08x2.83+4.08x2.83+12x3.08,402
NOURSE,400,Double,12.92x16.42+5.17x2.75+1.42x1.83+ 3.08x2.83+3.33x2.92,247
NOURSE,401,Double,16.33x15.58+3.7x2.67+2.75x2.67,270
NOURSE,405,Double,10.92x19.58,188
NOURSE,407A,"Double, 2 Room",12.33x6.83-3.08x1.75,79
NOURSE,410,Double,11.33x18.75+4.42x2+5.5x2,232
NOURSE,412,Double,2.5x3.58+4.33x1.83+6.58x1.83+ 22.5x8.75-1.58x8.92+1.33x5.92,217
NOURSE,414,Single,10.08x10.5+1.67x7.83+1.17x5.17+ 5.25x3,141
NOURSE,415,Single,5.25x2.92+2.5x8.25+1.75x1.67+ 10x10.5+5x1.67,153
NOURSE,416,Double,11.42x14.67+9.5x5.08+3.67x4.58+ 3.75x4.5,252
NOURSE,417,Double,3.58x9.5+11.5x14.754+9.5x5.08+ 3.67x4.05+3.75x4.42+2.58x9.25,309
NOURSE,418,Double,4.17x12.75+9.83x17.25+4.75x3+ 3x4.83+6.83x3.08+6.08x2+6.92x3.08,306
