Building,Room,Room Type,Dimensions,Area
SEVY,203A,Double in Quad,11.89x15.6,185
SEVY,203B,Single in a Quad,9.46x13.21+2.04x4.9,135
SEVY,203C,Single in a Quad,13.3x8.77+4.05x3.44,131
SEVY,204,Double,19.01x12.25,233
SEVY,207A,Single in a Double,10.73x14.3,153
SEVY,207B,Single in a Double,10.93x17.15,187
SEVY,208A,Double in Quad,11.62x10.91,127
SEVY,208B,Double in Quad,15.7x8.75+10.15x7,208
SEVY,209A,Double in Quad,8.27x16.83+8.36x4.75,179
SEVY,209B,Double in Quad,8.47x17.43+8.18x3.75,178
SEVY,210A,Double in Quad,8.2x17.04+4.16x2.89,152
SEVY,210B,Double in Quad,6.28*2.61+7.5*8.11+9.37*4.78,122
SEVY,212A,Single in a Double,11.06x12.73+4.51x2.6,153
SEVY,212B,Single in a Double,9.69x9.77+4.32x3.41,109
SEVY,213,Single,16.64x8.95,149
SEVY,214A,Double in Quad,10.99x14.26,157
SEVY,214B,Double in Quad,14.17x10.83,153
SEVY,303A,Double in Quad,11.29x15.59,185
SEVY,303B,Single in a Quad,10.49x13.58+5.2x2.04,153
SEVY,303C,Single in a Quad,9.04x13.1+3.84x3.52,132
SEVY,304,Double,19.17x13.2,253
SEVY,306A,Double in Quad,11.15x19.92+2.05x3.24+2.05x5.18,239
SEVY,306B,Double in Quad,11.68x16.83,197
SEVY,307A,Double in Triple,11.06x14.14+2.29x6.56,171
SEVY,307B,Single in a Triple,10.63x11+5.03x2.3+3.4x5.08,146
SEVY,309A,Double in Quad,10.33x11.1+6.98x5.56,153
SEVY,309B,Double in Quad,10.76x12.36+5x3.56,151
SEVY,311,Single,10.33x16.79,173
SEVY,312A,Double in Quad,10.99x14.36,158
SEVY,312B,Double in Quad,13.47x10.86,146
SEVY,403A,Triple in a Quad,10.24x10.85+3.25x5.1,128
SEVY,403B,Single in a Quad,7.29x8.85+8.22x5.95,113
SEVY,409A,Double in Quad,11.74x19.4+5.25x2+5x2,248
SEVY,409B,Double in Quad,14.29x11.06,158
