Building,Room,Room Type,Dimensions,Area
WATSON,116,Triple,15.28x12.86,197
WATSON,201,Single,9.39x15.97,150
WATSON,202,Single,9.2x15.96,147
WATSON,203,Triple,21.15x12.76,270
WATSON,204,Single,9.71x16.99,165
WATSON,205,Single,9.61x16.97,163
WATSON,206,Double,15.18x16.72,254
WATSON,207,Triple,21.01x12.69,267
WATSON,208,Single,9.36x15.88,149
WATSON,209,Single,9.25x15.88,147
WATSON,210,Double,13.26x15.84,210
WATSON,211,Single,9.23x15.91,147
WATSON,212,Single,9.23x15.91,147
WATSON,213,Triple,22.4x13.37,300
WATSON,214,Double,15.11x16.87,255
WATSON,215,Single,9.04x15.98,145
WATSON,216,Single,9.37x15.95,150
WATSON,217,Triple,12.53x21,263
WATSON,218,Single,9.31x16,149
WATSON,219,Single,9.3x16,149
WATSON,301,Single,9.39x15.97,150
WATSON,302,Single,9.2x15.96,147
WATSON,303,Triple,21.15x12.76,270
WATSON,304,Single,9.71x16.99,165
WATSON,305,Single,9.61x16.97,163
WATSON,306,Double,15.18x16.72,254
WATSON,307,Triple,21.01x12.69,267
WATSON,308,Single,9.36x15.88,149
WATSON,309,Single,9.25x15.88,147
WATSON,310,Double,13.26x15.84,210
WATSON,311,Single,9.23x15.91,147
WATSON,312,Single,9.23x15.91,147
WATSON,313,Triple,22.4x13.37,300
WATSON,314,Double,15.11x16.87,255
WATSON,315,Single,9.04x15.98,145
WATSON,316,Single,9.37x15.95,150
WATSON,317,Triple,12.53x21,263
WATSON,318,Single,9.31x16,149
WATSON,319,Single,9.3x16,149
WATSON,401,Single,9.39x15.97,150
WATSON,402,Single,9.2x15.96,147
WATSON,403,Triple,21.15x12.76,270
WATSON,404,Single,9.71x16.99,165
WATSON,405,Single,9.61x16.97,163
WATSON,406,Double,15.18x16.72,254
WATSON,407,Triple,21.01x12.69,267
WATSON,408,Single,9.36x15.88,149
WATSON,409,Single,9.25x15.88,147
WATSON,410,Double,13.26x15.84,210
WATSON,411,Single,9.23x15.91,147
WATSON,412,Single,9.23x15.91,147
WATSON,413,Triple,22.4x13.37,300
WATSON,414,Double,15.11x16.87,255
WATSON,415,Single,9.04x15.98,145
WATSON,416,Single,9.37x15.95,150
WATSON,417,Triple,12.53x21,263
WATSON,418,Single,9.31x16,149
WATSON,419,Single,9.3x16,149
WATSON,501,Single,9.39x15.97,150
WATSON,502,Single,9.2x15.96,147
WATSON,503,Triple,21.15x12.76,270
WATSON,504,Single,9.71x16.99,165
WATSON,505,Single,9.61x16.97,163
WATSON,506,Double,15.18x16.72,254
WATSON,507,Triple,21.01x12.69,267
WATSON,508,Single,9.36x15.88,149
WATSON,509,Single,9.25x15.88,147
WATSON,510,Double,13.26x15.84,210
WATSON,511,Single,9.23x15.91,147
WATSON,512,Single,9.23x15.91,147
WATSON,513,Triple,22.4x13.37,300
WATSON,514,Double,15.11x16.87,255
WATSON,515,Single,9.04x15.98,145
WATSON,516,Single,9.37x15.95,150
WATSON,517,Triple,12.53x21,263
WATSON,518,Single,9.31x16,149
WATSON,519,Single,9.3x16,149
WATSON,601,Single,9.39x15.97,150
WATSON,602,Single,9.2x15.96,147
WATSON,603,Triple,21.15x12.76,270
WATSON,604,Single,9.71x16.99,165
WATSON,605,Single,9.61x16.97,163
WATSON,606,Double,15.18x16.72,254
WATSON,607,Triple,21.01x12.69,267
WATSON,608,Single,9.36x15.88,149
WATSON,609,Single,9.36x15.88,147
WATSON,610,Double,13.26x15.84,210
WATSON,611,Single,9.23x15.91,147
WATSON,612,Single,9.23x15.91,147
WATSON,613,Triple,22.4x13.37,300
WATSON,614,Double,15.11x16.87,255
WATSON,615,Single,9.04x15.98,145
WATSON,616,Single,9.37x15.95,150
WATSON,617,Triple,12.53x21,263
WATSON,618,Single,9.31x16,149
WATSON,619,Single,9.3x16,149
WATSON,701,Single,9.39x15.97,150
WATSON,702,Single,9.2x15.96,147
WATSON,703,Triple,21.15x12.76,270
WATSON,704,Single,9.71x16.99,165
WATSON,705,Single,9.61x16.97,163
WATSON,706,Double,15.18x16.72,254
WATSON,707,Triple,21.01x12.69,267
WATSON,708,Single,9.36x15.88,149
WATSON,709,Single,9.25x15.88,147
WATSON,710,Double,13.26x15.84,210
WATSON,711,Single,9.23x15.91,147
WATSON,712,Single,9.23x15.91,147
WATSON,713,Triple,22.4x13.37,300
WATSON,714,Double,15.11x16.87,255
WATSON,715,Single,9.04x15.98,145
WATSON,716,Single,9.37x15.95,150
WATSON,717,Triple,12.53x21,263
WATSON,718,Single,9.31x16,149
WATSON,719,Single,9.3x16,149
